,Original,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
,Total Surplus,649.3951680499999,562.5877135916468,463.72327380190194,413.5856712403563,442.4380515285615,554.1083630063139,756.1448333149888,986.0752941995913,1266.5725057578238,1595.078645991417,1962.2844585141677
,Portion in non-ins cos,118.28235113999995,110.65853891446352,22.5,22.5,22.5,22.5,83.4273683005465,188.7086194478128,236.30507618470347,291.46951203576646,352.77590139509675
,AVR,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834
